movieId,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
1,0.489298247978,0.638502895319,0.147165942863,0.86446850358,0.907278163487,0.632611752152,0.463855776007,0.431897397271,0.551905162146,0.605106252319
2,0.848397235379,0.651151164295,0.892354045114,0.641728846347,0.480640015839,0.116589525302,0.621689910397,0.454511578335,-0.0125722179726,0.187978141763
3,0.375873825049,0.411235658666,0.465460342255,0.275878976753,0.456005120692,0.0935663963182,0.154338861532,0.521081782497,0.572215731556,0.502064644618
4,0.555838780402,0.413216226937,-0.0162107304045,0.722469761111,-0.087633815093,0.697415374251,-0.00915230633789,0.472833786021,0.724927023391,0.648281190813
5,0.49406698448,0.239996344254,0.294640463131,0.665514153645,0.550274400882,0.118525372872,0.713016178369,0.23337420164,0.82644332945,0.0379557642345
6,0.193483126373,0.317215294341,0.795418079335,0.990464044342,0.341615284857,0.438094839707,0.756876456537,0.192497942077,1.00882333128,0.677178062627
7,0.94921670396,0.495726087739,0.352879355494,0.84486535781,0.65707308053,0.483426745404,0.603030948471,0.178297653647,0.228712710916,0.212981603452
8,0.186535593409,0.4083041224,0.525940440157,0.26733107844,0.607276812606,0.750717669549,0.675838352686,0.0293442021274,0.97795111035,0.591469058478
9,0.875764870101,0.489774590027,0.505098348338,0.927458907513,0.85632850804,0.025411790342,0.307248928828,0.975597173165,0.285348318563,0.166524090837
10,0.713065104054,0.098039997063,0.723705530188,0.2596157645,0.477646694073,0.413665411578,0.458232024011,0.847582463192,0.547721809263,0.504423716311
11,0.261794806676,0.931246336864,0.747113030759,0.881221333494,0.710049646776,0.0756978093837,0.714878669176,0.247798909762,0.469584017956,0.133687778927
12,-0.0010963673224,0.762567427282,0.789591917012,0.780686342489,0.71896910516,0.134862877543,0.18856239726,-0.00985148760966,0.828421465972,0.116657055081
13,0.0958438640534,0.480349132953,0.40922674922,0.104763877883,0.348410239454,1.03556863033,0.577185505516,0.89982878278,0.715463626891,0.547959800773
14,0.281757006165,0.17985212695,0.881981134447,0.836362589652,1.17601717365,0.25497255831,0.524119695936,0.499039233159,0.397761273449,0.233880330901
15,0.559827267681,0.106689071709,0.793030797614,0.599386222805,0.0171151445815,0.481494152137,0.798303585135,0.0929212698058,0.453047344081,0.00265050381284
16,0.338550822603,0.892118637246,0.604439892536,0.633774657466,0.204519556799,0.506249771895,0.833850765707,0.179656196672,0.753681834511,1.09712523846
17,0.849906507687,0.185324513195,0.857701648112,0.864951981796,0.539170051535,0.289355799598,0.383964035698,0.848779848156,0.466528638237,0.654711127881
18,0.917202957801,0.39446931211,0.654685811808,0.540762795372,0.141218096619,0.104298909307,0.220322280604,0.159486701001,0.367355616188,0.236911579092
19,0.564776388564,0.0698813535942,0.803038169699,0.410631098298,0.158389356737,0.334786057054,0.146163741524,0.277827134345,0.163288067808,0.709247961279
20,-0.0139439195684,0.449328400262,0.530246589992,0.515297989481,-0.0181544748271,0.551717769256,0.309458783438,0.512788849643,0.163920432239,0.251358787992
21,0.348274320697,0.914889259479,0.441465041367,0.258512110036,0.398212951003,0.714294239031,0.655333876763,0.171232428899,0.789999949973,0.549163225146
22,0.833561529181,0.850793982165,0.410360184665,0.19769762883,0.454956100425,0.478522016964,0.226784369017,0.80872161214,0.696890305516,0.0394039334251
23,0.870401712749,0.187731375732,0.74171958691,-0.0699518901688,0.680355216636,-0.0651571884848,0.262870508181,0.84716917594,0.714934739804,0.13316948195
24,0.767574705935,0.619395723784,0.227299562215,0.12121046826,0.612572176917,0.187055573495,0.355213386953,0.315650261007,0.633340600925,0.209068344881
25,0.882625864036,0.903109119489,0.613872233872,0.811907308402,0.676985741105,0.327641903774,0.0102607006992,0.558280449043,-0.0264270935805,0.763512054324
26,0.831986256518,0.607316321748,0.307187333082,1.00512390586,0.473948856229,0.520108835702,0.691808525306,0.530150968084,0.439365571636,0.529858116782
27,0.230276867308,0.724388031708,0.735340378509,0.562088396393,0.673801124176,0.783142287443,0.884038208706,0.579286019026,0.484416881481,0.271149924529
28,0.949817169421,0.837030691118,0.898553106665,0.148292339901,0.784070987768,0.400633066131,0.509636847096,0.0101042942364,0.818176723951,0.672042146314
29,0.826805723929,0.947108988115,0.45538744672,0.883306423709,0.660269047357,0.800823016457,0.0219262574701,0.129323361688,0.293316643513,0.853369053202
30,0.537647448554,0.950754357345,0.609281325494,0.226361107534,0.188118728134,0.845054546824,0.175337006929,0.541085947888,0.307369111307,0.592201914116
